Total_Goals,H_Goal_Conversion,A_Goal_Conversion,Expected_Goals_Home,Expected_Goals_Away,H_Shot_Efficiency,A_Shot_Efficiency,H_Attack_Intensity,A_Attack_Intensity,Match_Intensity,H_Avg_Goals_Last5,A_Avg_Goals_Last5,H_Avg_Corners_Last5,A_Avg_Corners_Last5
5,0.5,0.0,3.5,3.2,0.5882352941176471,0.6666666666666666,32,28,60,1.6,0.6,5.2,4.8
2,0.3333333333333333,0.0,2.1999999999999997,1.0,0.35294117647058826,0.2857142857142857,27,13,40,1.6,0.8,5.4,3.2
4,0.2222222222222222,0.2857142857142857,3.8,2.2,0.5294117647058824,0.5,37,22,59,3.4,1.6,11.0,6.4
3,0.3333333333333333,0.0,3.6999999999999997,1.4,0.5,0.5,37,14,51,1.8,0.6,7.8,3.0
5,1.0,0.5,1.0,2.8,0.125,0.6153846153846154,16,25,41,1.4,0.4,7.4,5.4
2,0.16666666666666666,0.3333333333333333,2.1999999999999997,1.2,0.42857142857142855,0.3333333333333333,24,15,39,0.8,0.8,4.4,3.8
2,0.25,0.16666666666666666,1.8,2.0999999999999996,0.2857142857142857,0.75,24,17,41,1.8,2.0,4.8,7.8
1,0.2,0.0,2.2,2.1,0.5,0.5555555555555556,22,20,42,2.0,0.6,4.4,3.4
1,0.25,0.0,1.8,2.7,0.4444444444444444,0.5,19,27,46,1.6,0.4,7.2,5.4
1,0.2,0.0,1.7,1.4,0.38461538461538464,0.42857142857142855,20,15,35,2.6,1.0,4.0,2.4
2,0.1111111111111111,0.2,3.9,2.3,0.47368421052631576,0.5,40,23,63,0.8,0.8,6.0,5.8
1,0.3333333333333333,0.0,1.4,2.9,0.42857142857142855,0.6666666666666666,15,26,41,1.0,0.4,3.2,6.4
2,0.2,0.3333333333333333,2.0,0.9999999999999999,0.3125,0.6,26,9,35,1.6,0.4,7.0,2.6
3,0.3333333333333333,0.5,1.4,1.5,0.3333333333333333,0.5,17,15,32,2.2,0.6,3.6,4.2
3,0.25,0.3333333333333333,3.9,1.0999999999999999,0.5,0.42857142857142855,39,12,51,2.8,0.8,7.2,5.2
4,0.25,0.2,4.3999999999999995,1.7,0.48,0.5555555555555556,45,16,61,2.2,1.2,8.8,5.0
5,0.4444444444444444,0.3333333333333333,3.0999999999999996,1.2,0.5625,0.3333333333333333,29,15,44,1.4,1.2,5.8,4.4
6,0.4,0.5,3.9,1.8,0.625,0.4444444444444444,35,19,54,1.6,0.4,6.0,3.6
2,0.125,0.125,3.4,2.7,0.5333333333333333,0.6666666666666666,33,23,56,2.8,1.0,11.2,4.6
3,0.0,0.5,0.4,2.1999999999999997,0.2,0.5,7,22,29,1.4,1.2,6.8,6.2
3,0.0,0.2727272727272727,0.9999999999999999,4.2,0.3333333333333333,0.55,13,40,53,1.4,1.8,6.6,6.6
0,0.0,0.0,3.3,0.3,0.47058823529411764,0.25,34,5,39,1.2,0.6,4.8,3.4
4,0.0,0.6666666666666666,1.2999999999999998,2.3,0.6,0.6,12,21,33,1.6,0.8,7.0,5.8
